iter	Passed	Remaining
0	2	2476
1	3	1770
2	4	1415
3	4	1228
4	5	1127
5	6	1058
6	7	1013
7	7	974
8	8	942
9	9	921
10	10	928
11	11	972
12	12	961
13	13	952
14	14	942
15	15	927
16	15	913
17	16	920
18	17	928
19	18	920
20	19	916
21	20	911
22	21	932
23	22	925
24	23	916
25	24	907
26	24	898
27	25	890
28	26	883
29	27	876
30	27	870
31	28	864
32	29	858
33	30	854
34	31	855
35	32	861
36	33	860
37	33	858
38	34	854
39	35	850
40	36	848
41	37	846
42	37	843
43	38	839
44	39	835
45	40	832
46	40	829
47	41	826
48	42	823
49	43	821
50	43	817
51	44	814
52	46	824
53	47	826
54	47	823
55	48	820
56	49	817
57	50	814
58	50	811
59	51	808
60	52	806
61	53	803
62	53	801
63	54	798
64	55	796
65	56	793
66	56	791
67	57	789
68	58	786
69	59	786
70	60	788
71	61	789
72	62	787
73	62	784
74	63	783
75	64	783
76	65	784
77	66	782
78	67	781
79	67	780
80	68	780
81	69	778
82	69	772
83	70	770
84	71	771
85	72	769
86	73	768
87	74	767
88	75	774
89	76	778
90	77	776
91	78	774
92	79	772
93	80	771
94	80	770
95	81	767
96	82	766
97	83	764
98	83	763
99	85	769
100	86	773
101	87	772
102	88	772
103	90	781
104	91	781
105	92	779
106	93	778
107	94	777
108	95	777
109	96	777
110	97	777
111	98	779
112	99	778
113	99	776
114	100	775
115	101	774
116	102	773
117	103	773
118	104	774
119	106	779
120	107	780
121	108	778
122	110	784
123	111	789
124	113	793
125	115	799
126	116	802
127	117	803
128	119	807
129	120	808
130	122	810
131	123	810
132	124	808
133	124	807
134	125	805
135	126	802
136	127	801
137	128	802
138	130	809
139	131	809
140	132	807
141	133	804
142	133	802
143	134	801
144	135	799
145	136	797
146	137	796
147	138	794
148	138	793
149	139	791
150	140	790
151	141	789
152	142	788
153	143	788
154	144	790
155	145	788
156	146	786
157	147	785
158	148	784
159	149	784
160	149	781
161	150	780
162	151	779
163	152	778
164	153	776
165	154	774
166	154	772
167	155	770
168	156	769
169	157	768
170	158	768
171	159	767
172	160	765
173	160	764
174	161	762
175	162	760
176	163	758
177	163	756
178	164	755
179	165	753
180	166	751
181	166	749
182	167	748
183	168	746
184	169	745
185	170	744
186	170	742
187	171	742
188	173	743
189	174	742
190	175	743
191	176	742
192	177	740
193	178	739
194	179	741
195	181	742
196	182	743
197	183	741
198	183	740
199	184	738
200	185	736
201	186	735
202	187	736
203	188	735
204	189	734
205	190	733
206	191	732
207	191	730
208	192	729
209	193	728
210	194	727
211	195	725
212	196	724
213	197	727
214	198	725
215	199	724
216	200	722
217	201	722
218	203	724
219	203	722
220	204	721
221	205	720
222	206	719
223	207	718
224	208	716
225	208	715
226	209	714
227	210	713
228	211	712
229	212	710
230	213	709
231	213	707
232	214	705
233	215	704
234	216	705
235	218	706
236	220	708
237	221	707
238	221	706
239	223	706
240	223	705
241	224	703
242	225	702
243	226	700
244	226	699
245	227	697
246	228	696
247	229	694
248	230	695
249	231	694
250	232	692
251	232	691
252	233	689
253	234	688
254	235	686
255	235	685
256	236	684
257	237	682
258	238	681
259	239	680
260	239	678
261	240	677
262	241	676
263	242	675
264	242	673
265	243	672
266	245	673
267	246	672
268	247	672
269	248	671
270	249	670
271	250	671
272	262	699
273	263	698
274	264	698
275	265	696
276	266	695
277	267	693
278	267	692
279	268	690
280	269	689
281	269	687
282	270	686
283	271	684
284	272	682
285	272	681
286	273	679
287	274	678
288	275	677
289	276	676
290	277	675
291	277	673
292	278	672
293	279	671
294	280	669
295	280	668
296	281	666
297	282	665
298	283	664
299	284	662
300	284	661
301	285	659
302	286	658
303	287	657
304	287	655
305	288	654
306	289	652
307	290	652
308	291	651
309	292	649
310	293	649
311	294	648
312	294	647
313	295	645
314	296	644
315	297	643
316	298	642
317	298	640
318	299	639
319	300	638
320	301	636
321	301	635
322	302	634
323	304	634
324	306	636
325	308	637
326	309	637
327	311	637
328	312	636
329	313	636
330	315	636
331	317	638
332	319	639
333	320	638
334	321	637
335	321	636
336	322	634
337	323	633
338	325	634
339	326	634
340	327	633
341	328	632
342	329	631
343	330	629
344	331	628
345	331	627
346	332	625
347	333	624
348	334	623
349	335	623
350	336	622
351	337	622
352	339	621
353	340	621
354	342	621
355	343	621
356	344	619
357	344	618
358	345	617
359	346	616
360	348	616
361	349	615
362	349	614
363	350	612
364	351	611
365	352	609
366	352	608
367	353	607
368	354	606
369	355	605
370	356	603
371	357	602
372	357	601
373	358	600
374	359	598
375	359	597
376	360	595
377	361	594
378	362	593
379	363	592
380	363	591
381	364	589
382	365	588
383	365	587
384	366	585
385	367	584
386	368	583
387	369	582
388	369	580
389	370	579
390	371	578
391	371	576
392	372	575
393	373	574
394	373	572
395	374	571
396	375	569
397	375	568
398	377	568
399	378	567
400	378	565
401	379	564
402	380	563
403	381	562
404	381	561
405	382	559
406	383	558
407	384	557
408	384	556
409	385	555
410	386	553
411	387	552
412	387	551
413	388	550
414	389	549
415	390	547
416	391	546
417	392	546
418	392	544
419	393	543
420	394	542
421	395	542
422	396	540
423	397	539
424	397	538
425	398	537
426	399	535
427	400	534
428	400	533
429	401	532
430	402	530
431	402	529
432	403	528
433	404	527
434	404	525
435	405	525
436	407	524
437	408	523
438	408	522
439	409	521
440	410	520
441	411	518
442	411	517
443	412	516
444	413	515
445	413	513
446	414	512
447	415	511
448	415	510
449	416	509
450	417	508
451	418	507
452	419	505
453	419	505
454	421	504
455	422	503
456	422	502
457	423	501
458	424	500
459	424	498
460	425	497
461	426	496
462	427	495
463	427	494
464	428	493
465	429	492
466	430	490
467	430	489
468	431	488
469	432	487
470	433	486
471	434	485
472	435	485
473	436	484
474	437	483
475	437	481
476	438	480
477	439	479
478	439	478
479	440	477
480	442	477
481	443	476
482	444	475
483	445	474
484	446	474
485	447	472
486	448	471
487	449	471
488	450	470
489	451	469
490	452	468
491	452	467
492	453	466
493	454	465
494	455	464
495	456	463
496	457	462
497	458	461
498	458	460
499	459	459
500	460	458
501	460	457
502	461	456
503	462	455
504	463	454
505	464	453
506	465	452
507	466	451
508	467	450
509	468	449
510	468	448
511	469	447
512	470	446
513	470	445
514	471	444
515	472	443
516	473	441
517	473	440
518	474	439
519	475	438
